timestamp,coin,price_usd,change_24h
2026-01-17 16:12:46,BITCOIN,95447,0.76
2026-01-17 17:24:14,BITCOIN,95330,0.69
2026-01-17 18:38:11,BITCOIN,95401,0.3
2026-01-17 19:21:33,BITCOIN,95324,0.49
2026-01-17 20:30:07,BITCOIN,95297,0.33
2026-01-17 21:25:18,BITCOIN,95338,-0.02
2026-01-17 22:27:32,BITCOIN,95150,-0.26
2026-01-17 23:26:41,BITCOIN,95106,-0.42
2026-01-18 02:30:22,BITCOIN,94982,-0.25
2026-01-18 04:10:32,BITCOIN,95123,-0.17
2026-01-18 05:31:16,BITCOIN,95077,-0.21
2026-01-18 06:41:42,BITCOIN,95155,-0.14
2026-01-18 07:26:54,BITCOIN,95063,-0.07
2026-01-18 08:35:35,BITCOIN,95070,-0.11
2026-01-18 09:29:22,BITCOIN,95158,-0.03
2026-01-18 10:29:18,BITCOIN,95076,-0.12
